Parameter,Value
Status,completed
Best Formula,"                                     0.5
            ⎛                    0.5⎞   
            ⎜⎛               0.5⎞   ⎟   
           3⎜⎜⎛      1      ⎞   ⎟   ⎟   
x + x + log ⎜⎜⎜─────────────⎟   ⎟   ⎟   
            ⎜⎜⎜⎛x - (x + x)⎞⎟   ⎟   ⎟   
            ⎜⎜⎜⎜───────────⎟⎟   ⎟   ⎟   
            ⎝⎝⎝⎝     x     ⎠⎠   ⎠   ⎠   "
R² Score,
Epochs Used,10
Processing Time (ms),42758
Pareto Solutions Count,4
Total Cost,0.02
Configuration Used,config2
Metadata: formula_length,327
Metadata: data_shape,1x8
Metadata: timestamp,2025-09-16T06:26:11.581683
Metadata: is_physical,True
